Symbol,Shares,PortfolioWeight,CostBasis,MarketValue
NFLX,9.03,0.91,648.17,647.54
NVDA,37.724,10.62,7602.89,7573.09
META,2.257,1.76,1258.77,1256.49
GOOGL,16.08,8.03,5734.13,5726.57
AAPL,12.33,5.34,3825.45,3809.79
IVV,0.386,0.41,289.58,289.68
ORCL,4.524,0.82,588.07,587.57
VUG,225.36,26.92,19196.16,19196.16
VTI,18.43,9.52,6786.29,6786.29
QQQ,0.797,0.77,549.56,548.33
MSFT,4.526,2.95,2108.84,2103.32
TSLA,7.472,3.26,2332.53,2325.36
CAT,1.369,1.57,1116.54,1116.12
VOO,18.932,18.23,13000.79,13000.79
AMD,6.376,4.26,3040.20,3035.93
AMZN,7.869,3.00,2138.87,2137.06
WMT,5.81,0.91,646.30,646.07
PLTR,4.223,0.73,520.06,519.68
